componentName,quantity
40 WCB FP BV FL 3PD BODY,0
50 WCB FP BV FL 3PD BODY,0
65 WCB FP BV FL 3PD BODY,0
80 WCB FP BV FL 3PD BODY,16
100 WCB FP BV FL 3PD BODY,0
15 WCB FP BV FL 3PD ENDPIECE,15
20 WCB FP BV FL 3PD ENDPIECE,0
25 WCB FP BV FL 3PD ENDPIECE,0
40 WCB FP BV FL 3PD ENDPIECE,0
50 WCB FP BV FL 3PD ENDPIECE,0
65 WCB FP BV FL 3PD ENDPIECE,0
80 WCB FP BV FL 3PD ENDPIECE,2
100 WCB FP BV FL 3PD ENDPIECE,0
15 WCB FP BV SC 3PD ENDPIECE,229
20 WCB FP BV SC 3PD ENDPIECE,0
25 WCB FP BV SC 3PD ENDPIECE,96
40 WCB FP BV SC 3PD ENDPIECE,0
50 WCB FP BV SC 3PD ENDPIECE,0
40 WCB FP BV SC NEW BODY,0
50 WCB FP BV SC NEW BODY,0
15 WCB FP BV FL 2PD BODY,27
20 WCB FP BV FL 2PD BODY,41
25 WCB FP BV FL 2PD BODY,41
40 WCB FP BV FL 2PD BODY,15
50 WCB FP BV FL 2PD BODY,92
65 WCB FP BV FL 2PD BODY,7
80 WCB FP BV FL 2PD BODY,14
100 WCB FP BV FL 2PD BODY,0
15 WCB FP BV FL 2PD ENDPIECE,28
20 WCB FP BV FL 2PD ENDPIECE,42
25 WCB FP BV FL 2PD ENDPIECE,58
40 WCB FP BV FL 2PD ENDPIECE,16
50 WCB FP BV FL 2PD ENDPIECE,92
65 WCB FP BV FL 2PD ENDPIECE,6
80 WCB FP BV FL 2PD ENDPIECE,12
100 WCB FP BV FL 2PD ENDPIECE,0
50 WCB RP BV FL 2PD BODY,0
25 WCB RP BV FL 2PD BODY,2
65 WCB RP BV FL 2PD BODY,6
80 WCB RP BV FL 2PD BODY,0
100 WCB RP BV FL 2PD BODY,0
50 WCB RP BV FL 2PD ENDPIECE,0
65 WCB RP BV FL 2PD ENDPIECE,6
25 WCB RP BV FL 2PD ENDPIECE,2
80 WCB RP BV FL 2PD ENDPIECE,0
100 WCB RP BV FL 2PD ENDPIECE,0
25 WCB GLOBE VALVE BODY,12
40 WCB GLOBE VALVE BODY,2
50 WCB GLOBE VALVE BODY,2
80 WCB GLOBE VALVE BODY,0
100 WCB GLOBE VALVE BOBY,0
25 WCB GLOBE VALVE BONNET,12
40 WCB GLOBE VALVE BONNET,6
50 WCB GLOBE VALVE BONNET,1
80 WCB GLOBE VALVE BONNET,0
100 WCB GLOBE VALVE BONNET,0
25 WCB GLOBE VALVE SLEEVE,11
15 FORGED RP BV 3PD BODY,0
20 FORGED RP BV 3PD BODY,0
25 FORGED RP BV 3PD BODY,0
32 FORGED RP BV 3PD BODY,0
40 FORGED RP BV 3PD BODY,2
50 FORGED RP BV 3PD BODY,2
15 FORGED RP BV 3PD ENDPIECE,4
20 FORGED RP BV 3PD ENDPIECE,0
25 FORGED RP BV 3PD ENDPIECE,0
32 FORGED RP BV 3PD ENDPIECE,4
40 FORGED RP BV 3PD ENDPIECE,8
50 FORGED RP BV 3PD ENDPIECE,4
15 CI FP BV SC IPD BODY,35
20 CI FP BV SC IPD BODY,137
25 CI FP BV SC IPD BODY,133
32 CI FP BV SC IPD BODY,116
40 CI FP BV SC IPD BODY,92
50 CI FP BV SC IPD BODY,26
15 CI FP BV SC IPD ENDCOVER,146
20 CI FP BV SC IPD ENDCOVER,107
25 CI FP BV SC IPD ENDCOVER,142
32 CI FP BV SC IPD ENDCOVER,59
40 CI FP BV SC IPD ENDCOVER,49
50 CI FP BV SC IPD ENDCOVER,26
15 CI FP BV FL 3PD B ODY,0
20 CI FP BV FL 3PD B ODY,5
25 CI FP BV FL 3PD B ODY,"1,185"
32 CI FP BV FL 3PD B ODY,115
40 CI FP BV FL 3PD B ODY,101
50 CI FP BV FL 3PD B ODY,157
65 CI FP BV FL 3PD B ODY,20
80 CI FP BV FL 3PD B ODY,25
100 CI FP BV FL 3PD B ODY,4
125 CI FP BV FL 3PD B ODY,1
150 CI FP BV FL 3PD B ODY,4
40 CI FP BV FL 2PD BODY,0
50 CI FP BV FL 2PD BODY,11
15 CI FP BV FL 3PD MWII ENDPIECE,0
